Invoice_ID,Date,Branch,City,Product,Customer_Type,Quantity,Unit_Price,Sales,Payment_Method,Rating
INV-0001,2025-05-22,A,Delhi,Vegetables,Member,6,96.0,576.0,Credit Card,3.6
INV-0002,2025-02-05,C,Mumbai,Beverages,Member,10,94.17,941.7,Credit Card,4.0
INV-0003,2025-05-31,B,Pune,Meat,Member,9,305.17,2746.53,Cash,4.2
INV-0004,2025-04-24,C,Mumbai,Snacks,Normal,6,81.68,490.08,Cash,3.9
INV-0005,2025-03-07,A,Delhi,Vegetables,Member,9,25.5,229.5,Cash,4.6
INV-0006,2025-04-15,C,Mumbai,Personal Care,Member,4,121.74,486.96,Credit Card,2.6
INV-0007,2025-03-26,B,Pune,Milk,Normal,8,70.63,565.04,UPI,5.0
INV-0008,2025-01-02,A,Delhi,Vegetables,Member,4,69.7,278.8,Credit Card,4.6
INV-0009,2025-03-16,C,Mumbai,Meat,Normal,2,180.38,360.76,Credit Card,3.9
INV-0010,2025-03-08,A,Delhi,Snacks,Normal,10,133.19,1331.9,UPI,3.6
INV-0011,2025-06-29,A,Delhi,Beverages,Normal,9,119.04,1071.36,Credit Card,3.4
INV-0012,2025-05-31,C,Mumbai,Meat,Member,5,402.52,2012.6,UPI,4.4
INV-0013,2025-06-03,C,Mumbai,Meat,Member,4,324.07,1296.28,UPI,4.6
INV-0014,2025-02-24,B,Pune,Milk,Member,2,60.19,120.38,Credit Card,3.9
INV-0015,2025-01-06,B,Pune,Fruits,Normal,1,39.47,39.47,UPI,4.7
INV-0016,2025-06-12,B,Pune,Snacks,Member,7,58.41,408.87,Credit Card,3.4
INV-0017,2025-05-30,A,Delhi,Bread,Normal,6,88.32,529.92,Credit Card,3.3
INV-0018,2025-06-20,A,Delhi,Meat,Member,2,218.55,437.1,Cash,5.0
INV-0019,2025-05-23,C,Mumbai,Fruits,Normal,8,117.97,943.76,UPI,4.4
INV-0020,2025-03-27,C,Mumbai,Bread,Member,4,61.91,247.64,UPI,4.9
INV-0021,2025-03-01,C,Mumbai,Snacks,Member,8,54.94,439.52,Cash,3.4
INV-0022,2025-04-11,C,Mumbai,Cheese,Member,7,135.89,951.23,Credit Card,3.4
INV-0023,2025-01-12,A,Delhi,Personal Care,Normal,5,93.42,467.1,Cash,3.8
INV-0024,2025-02-18,B,Pune,Fruits,Normal,10,113.31,1133.1,UPI,3.5
INV-0025,2025-02-11,A,Delhi,Frozen Food,Member,10,150.41,1504.1,Cash,4.5
INV-0026,2025-06-15,B,Pune,Cheese,Member,8,183.27,1466.16,Cash,3.5
INV-0027,2025-03-23,B,Pune,Personal Care,Normal,9,110.11,990.99,Credit Card,3.2
INV-0028,2025-06-22,C,Mumbai,Milk,Normal,5,41.62,208.1,UPI,4.1
INV-0029,2025-02-04,B,Pune,Vegetables,Normal,10,61.59,615.9,Credit Card,3.2
INV-0030,2025-06-07,A,Delhi,Beverages,Member,5,66.91,334.55,Cash,2.8
INV-0031,2025-06-07,A,Delhi,Frozen Food,Normal,2,222.03,444.06,Credit Card,4.1
INV-0032,2025-05-14,C,Mumbai,Milk,Member,5,51.67,258.35,UPI,2.9
INV-0033,2025-03-08,B,Pune,Snacks,Normal,3,81.23,243.69,Cash,4.5
INV-0034,2025-03-21,A,Delhi,Milk,Member,7,56.33,394.31,Credit Card,3.1
INV-0035,2025-01-07,A,Delhi,Vegetables,Normal,10,58.31,583.1,UPI,2.5
INV-0036,2025-06-29,C,Mumbai,Snacks,Normal,5,149.43,747.15,Credit Card,3.8
INV-0037,2025-01-14,A,Delhi,Frozen Food,Normal,8,172.71,1381.68,Cash,4.1
INV-0038,2025-03-14,C,Mumbai,Vegetables,Normal,1,31.62,31.62,UPI,4.3
INV-0039,2025-05-23,C,Mumbai,Bread,Normal,3,66.41,199.23,UPI,4.1
INV-0040,2025-05-29,A,Delhi,Beverages,Member,3,69.71,209.13,Credit Card,3.3
INV-0041,2025-06-12,A,Delhi,Frozen Food,Normal,9,85.26,767.34,UPI,4.5
INV-0042,2025-03-07,C,Mumbai,Bread,Normal,5,88.24,441.2,Cash,4.6
INV-0043,2025-04-01,B,Pune,Personal Care,Normal,9,183.77,1653.93,UPI,3.2
INV-0044,2025-05-10,B,Pune,Frozen Food,Member,9,246.62,2219.58,Cash,3.9
INV-0045,2025-06-12,C,Mumbai,Personal Care,Normal,1,136.46,136.46,UPI,3.8
INV-0046,2025-01-20,C,Mumbai,Snacks,Member,2,98.55,197.1,Credit Card,4.1
INV-0047,2025-01-10,C,Mumbai,Bread,Normal,5,40.1,200.5,Credit Card,3.9
INV-0048,2025-01-25,C,Mumbai,Beverages,Normal,4,82.1,328.4,Credit Card,4.0
INV-0049,2025-01-25,B,Pune,Vegetables,Member,10,87.89,878.9,Credit Card,4.4
INV-0050,2025-02-23,A,Delhi,Meat,Normal,9,256.86,2311.74,UPI,3.3
INV-0051,2025-02-02,C,Mumbai,Milk,Member,7,72.21,505.47,Credit Card,4.5
INV-0052,2025-06-13,B,Pune,Cheese,Member,6,233.44,1400.64,UPI,4.7
INV-0053,2025-04-05,B,Pune,Beverages,Normal,7,73.03,511.21,UPI,5.0
INV-0054,2025-01-14,C,Mumbai,Bread,Member,1,60.45,60.45,UPI,2.6
INV-0055,2025-03-06,A,Delhi,Meat,Normal,1,353.22,353.22,Cash,3.9
INV-0056,2025-04-20,B,Pune,Beverages,Normal,8,80.55,644.4,Credit Card,2.7
INV-0057,2025-03-21,A,Delhi,Bread,Member,2,79.84,159.68,Cash,2.4
INV-0058,2025-02-23,B,Pune,Fruits,Member,10,79.03,790.3,Cash,4.1
INV-0059,2025-05-05,A,Delhi,Fruits,Member,9,44.87,403.83,UPI,3.7
INV-0060,2025-06-29,A,Delhi,Personal Care,Member,7,153.28,1072.96,Credit Card,4.2
INV-0061,2025-05-11,A,Delhi,Beverages,Normal,6,179.96,1079.76,Cash,4.3
INV-0062,2025-06-18,B,Pune,Fruits,Normal,1,43.55,43.55,Cash,4.8
